位於 at
個人 individual
专访 interview
佔據 occupation
要好 better
金城 jincheng
机翼 wing
逆轉 reverse
報到 reports
強硬 strong
! !
" "
# #
$ $
% %
& &
' '
( (
) )
+ +
, ,
- -
. .
/ /
預防 prevention
小孩子 children
倒下 down
恐嚇 scary
信号 signal
< < 
回答 reply
> > 
? ?
@ @
result result
方程式 equation
skype skype
灌木 shrubs
幸运 lucky
暢銷 marketing
四分之一 one-fourth
after after
\ \
^ ^
` `
a a
b b
c c
d d
e e
f f
g g
h h
i i
j j
坠毁 crash
k k
l l
衰竭 failure
m m
n n
肥沃 fertile
o o
p p
q q
r r
s s
t t
u u
v v
w w
x x
史達林 starin
y y
z z
information information
基夫 keefe
{ {
adrian adrian
} }
~ ~
佛得角 verde
選舉 election
逃逸 escape
騎士 knight
一身 one
£ £
¤ ¤
¥ ¥
§ §
¬ ¬
帶領 lead
® ®
° °
來往 to
± ±
² ²
³ ³
· ·
干部 cadres
» »
½ ½
规则 rules
耶穌 jesus
本色 color
逃避 escape
影響力 influence
× x
來得 come
幸運 lucky
à à
快捷 shortcut
〇〇 of
caliber caliber
參賽者 participants
重大 major
里奈 rennes
better better
连锁 chain
重复 repeat
中西 western
底質 substrate
影片 film
石窟 grottoes
通路 pathway
一輛 a
野外 field
flow flow
一輪 round
驅動 drivers
行者 skywalker
下跌 fell
烈士 martyrs
上路 road
血腥 bloody
神仙 fairy
玄武岩 basalt
coach coach
remix remix
women women
woman woman
馬爾他 he
不足 insufficient
監察院 prison
遊行 tour
佛教 buddhism
之處 where
領隊 leaders
解任 removal
石竹 carnation
案情 merits
運行 run
短篇 short
廳舍 house
何時 when
代理 agent
透过 through
馬斯 horses
本草 materia
四級 four-tier
longitude longitude
作文 composition
悠久 long
替補 supplement
社区 community
校方 school
平野 hirano
解体 disintegration
患上 develop
社區 community
年金 annuity
times times
碰撞 collision
comments comments
逍遥 xiaoyao
醫師 doctor
西宁 xining
西安 xian
cfcfff cfcfff
格拉 kara
透過 through
beautiful beautiful
阿根廷 argentina
地獄 hell
一連 link
書記 books
報告 report
遇見 met
滑雪 ski
老舊 old
一週 week
佔有 occupy
仿照 modelled
配樂 happy
一遍 again
飛翔 flying
因素 factors
下載 download
根据 under
一道 a
場合 stadium
他的 his
嘉靖 jiajing
洛克菲勒 rockefeller
人称 person
着重 emphatically
ffffffarm ffffffarm
濫用 abused
侵害 against
塑像 statue
依序 sequentially
遮蔽 shelter
budget budget
glass glass
严谨 rigorous
主要 main
technologies technologies
祖先 ancestors
復活 resurrection
西山 xishan
memory memory
恭喜 congratulations
一郎 ichiro
地球 earth
亞綱 car
地理 geographical
一部 a
梁子 liangzi
會見 meeting
中譯 translations
二者 both
微波 microwave
執導 guided
主角 lead
通过 pass
补给 supply
晶體 crystal
前所未有 unprecedented
下达 issued
火星 mars
作曲 composition
浸信會 baptist
徵求 seeking
dates dates
上述 above
creative creative
coast coast
神像 idol
柴油 diesel
交給 handed
不过 no
連載 download
服装 clothing
holdings holdings
威士忌 whiskey
国立 national
通過 through
通道 channel
個別 individual
量子 quantum
思念 miss
旅行社 travel
服裝 clothing
解僱 solutions
极端 extreme
compact compact
金子 gold
预计 expected
胡桃 walnut
邁阿密 miami
食肉 predators
不适 discomfort
下達 down
不通 impassability
九號 nine
重寫 rewrite
α alpha
β beta
γ gamma
δ δ
ε ε
ζ ζ
便宜 cheap
η η
θ theta
λ λ
μ μ
基山 jishan
开花 flowering
π π
σ σ
羞辱 humiliation
critical critical
τ τ
都由 by
φ φ
違規 violation
ω ω
迫降 landing
这项 this
专辑 album
introduction introduction
二胡 erhu
淡水湖 freshwater
不過 but
三郎 mogi
規定 rules
會說 say
parliament parliament
上部 upper
里斯本 lisbon
梁山 liangshan
運動員 athletes
解决 solution
七里 qili
堅守 keep
眼鏡 glasses
西川 xichuan
а а
в в
下部 lower
团结 solidarity
л л
м м
堅定 firm
聯盟 alliance
с с
胡椒 pepper
average average
у у
成吉思汗 genghis
東經 stuff
年鑑 annual
journal journal
炮彈 shells
署長 director
首次 first
代目 substitute
business business
首歌 song
達爾文 galician
思想 thought
desert desert
不知所云 unintelligible
梅山 meishan
東線 east
複雜度 complexity
retrieved retrieved
托洛茨基 trotsky
马兰 malan
邦聯 federation
journey journey
金屬 metal
急性 acute
万里 miles
曼谷 bangkok
飛航 flight
伊犁 yili
金属 metal
會議 meeting
</s> </s>
virtual virtual
解剖 anatomy
西平 xiping
腹地 hinterland
back back
進軍 army
states states
天狼星 sirius
金山 jinshan
格斗 fighting
company company
thomas thomas
中起 in
阿里山 alishan
短缺 shortage
恢复 recovery
火柴 match
研究 research
三重 triple
神力 power
製造商 manufacturer
中越 sino-vietnamese
baby baby
快板 allegro
斯拉夫 slavic
国籍 nationality
底部 bottom
西康 xikang
上野 ueno
rowclass rowclass
东边 east
視察 observation
lakokat lakokat
装甲 armored
made made
因而 thus
下野 ousted
國立 state
四肢 limbs
status status
交通工具 transport
伏特 volts
预赛 preliminaries
portugal portugal
杆菌 bacillus
怨恨 resentment
交響曲 tune
西式 western
中路 road
激素 hormone
性情 temperament
引致 caused
地皮 land
場地 field
信奉 believe
供應 supply
mail mail
任用 appointment
main main
禁令 ban
年長 years
mapfiles mapfiles
revenue revenue
年間 years
無力 force
作業 business
炸彈 bombs
祭典 festival
酒泉 jiuquan
香水 perfume
地盤 plates
針對 needles
kadokawa kadokawa
騎師 rider
基底 basement
ball ball
彈簧 spring
性感 sexy
出版物 publications
make make
gregory gregory
罗马 rome
基座 base
馬德里 madrid
度过 degrees
香江 xiangjiang
釜山 busan
西德 west
instagram instagram
格陵蘭 greenock
bank bank
都督 viceroy
倒台 fall
會費 free
bang bang
林立 bristling
band band
根本 fundamental
released released
追随 follow
题词 inscription
mall mall
吉隆坡 kl
平阳 pingyang
填充 fill
代碼 code
highest highest
року року
male male
金川 jinchuan
驱动 driver
latitude latitude
礼堂 auditorium
悲傷 sad
基建 infrastructure
remember remember
年限 life
依托 support
追隨 follow
借助 with
stat stat
twinkle twinkle
star star
度過 degree
围绕 around
週邊 week
many many
gordon gordon
stay stay
聽眾 listener
漫遊 roaming
progress progress
老虎 tiger
填写 fill
numbers numbers
驚喜 amazing
驻军 garrison
dynasty dynasty
情人 lover
迴響 impact
罹難 difficult
得獎 prize
逻辑 logic
maps maps
量度 measure
countdown countdown
住民 residents
國籍 national
亲缘 genetic
korea korea
修士 monks
暴雨 rainstorm
堵塞 jam
mass mass
admin admin
speed speed
bats bats
金平 jinping
討伐 cutting
修复 repair
破碎 broken
格林 green
木製 wood
重建 reconstruction
mars mars
mary mary
福井 fujinsi
廣西 west
bass bass
暴露 exposed
marc marc
親子 dear
ster ster
step step
mark mark
base base
以示 show
村落 village
恰好 just
肺炎 pneumonia
核桃 walnut
逼近 approximation
尼日利亞 nigery
着陆 land
直升机 helicopter
頂點 vertices
保存 save
彩票 lottery
matt matt
来自 from
逃離 escape
pentium pentium
math math
惊人 amazing
逼迫 forced
保守 conservative
影碟 dvd
平面 plane
平靜 calm
保安 security
校歌 anthem
平静 calm
親密 intimate
修女 sister
across across
聖誕節 christmas
堂弟 cousin
保定 baoding
europe europe
佐治 george
記事 remember
校正 correction
依据 basis
快樂 happy
替身 double
保密 confidential
重心 focus
一門 door
中途 halfway
格格 chattered
桂林 guilin
一間 a
html html
并非 not
香港 hongkong
野心 ambition
借口 excuse
maya maya
有趣 interesting
也許 maybe
連鎖 lock
木乃伊 mummy
廢話 nonsense
肉眼 visible
介紹 intro
規律 rule
platform platform
佛殿 buddha
瞭解 understand
堅強 strong
代表性 representative
裝甲 armor
度量 measure
stephen stephen
聖經 bible
道路 road
聲稱 voice
frederick frederick
石膏 gypsum
實驗室 laboratory
demographics demographics
示威 demonstrations
仿真 simulation
親屬 intimate
预选 preselection
悲劇 tragedy
fairy fairy
人群 crowd
驻华 embassy
祭司 priest
直升機 helicopters
version version
stop stop
nocat nocat
框架 framework
釀成 stuffed
あい あい
希伯来 hebrew
運轉 running
britannica britannica
中部 central
留学生 students
wikipedia wikipedia
運輸 transport
strc strc
老街 street
幽靈 ghost
祖国 motherland
頭髮 hair
職稱 title
ohio ohio
ある ある
恭子 kyoko
athlon athlon
低温 low-temperature
ldots ldots
片假名 katakana
georg georg
三間 three
一隻 a
還被 was
http http
主辦 master
いる いる
神器 artifact
有意義 meaningful
佛法 dharma
偏低 low
仔細 chai
最近 recent
酵母 yeast
伯爵 count
伯父 uncle
名古屋 nagoya
作法 practices
berkeley berkeley
圍繞 surrounded
製片 film
堪察 richard
occupation occupation
運送 delivery
惟一 only
之路 road
透露 revealed
代管 escrow
联络 contact
心灵 mind
伯特 bert
allegiance allegiance
團結 unite
脚本 script
石英 quartz
脊椎 spine
倒地 down
重慶 re-celebration
antarctic antarctic
かけ かけ
期貨 delivery
television television
一面 side
境内 in
計劃 plan
長時間 long
做事 work
自主 independent
选项 options
守門員 keeper
襲擊 attack
架空 overhead
screen screen
神圣 sacred
上限 ceiling
上陣 lineup
から から
波希米亞 bohimi
情况 situation
entrance entrance
乡试 provincial
下降 decline
acoustic acoustic
御用 royal
债务 debt
归纳 antibody
下限 lower
tribe tribe
joseph joseph
下院 commons
急救 emergency
恐怕 afraid
八十八 88
恐怖 terrorist
衰落 decline
依旧 still
香火 incense
就不能 can't
prodcode prodcode
羽毛球 badminton
不限 ended
低潮 ebb
報導 reports
martin martin
书记 registry
statyear statyear
一頁 page
詹姆士 james
墨爾本 mexico
mbox mbox
觀察 observations
一項 a
梧州 wuzhou
必然 inevitable
得益 benefit
くん くん
一頭 one
健一 kenichi
研習 research
出版社 press
自从 since
世間 world
下雨 rain
驚奇 amazingly
专门 expertise
五號 five
classis classis
循環 loop
一顆 a
不雅 indecent
こう こう
邀請 invited
延誤 delay
至上 first
xbox xbox
肥皂 soap
里拉 lira
倒塌 collapse
繼承人 inherit
such such
classic classic
こと こと
福利 welfare
この この
建設 built
hugo hugo
features features
上面 above
术语 terms
東華 east
梦幻 dream
恐惧 fear
hugh hugh
促成 contributed
祠堂 ancestral
情勢 emotional
久遠 long
museum museum
下面 following
最重 heaviest
飛行 flying
聯絡 contact
翻譯 translate
健二 kenji
國聯 national
四處 four
考試 test
連隊 team
羅馬 rome
热带 tropical
さん さん
した した
四號 four
恐慌 panic
從來沒有 never
从而 thus
urban urban
israel israel
window window
athletics athletics
美食 food
しま しま
三項 three
告一段落 end
這項 this
得知 know
至今 still
自信 confidence
davis davis
本質 quality
遙遠 remote
prizes prizes
study study
irish irish
討厭 hate
する する
丘陵 hilly
三顆 three
弹药 ammunition
categories categories
berlin berlin
之道 way
而言 to
城楼 tower
灵活 flexible
明日香 asuka
碎片 debris
這類 such
重排 rearrange
下頜 jaw
dick dick
section section
恢復 restore
週間 weeks
便捷 convenient
漢陽 sun
部署 deployment
一首 song
せん せん
恐懼 fear
hunt hunt
漫長 length
神奇 magic
opened opened
柴田 shibata
viewers viewers
丁香 lilac
考證 test
effect effect
その その
producer producer
自動化 self-mobility
建議 recommendations
leftarm leftarm
遣返 repatriation
たい たい
faith faith
聯繫 contacted
烏拉 uruguayan
怎樣 how
点数 points
梯度 gradient
david david
信徒 believers
だい だい
たち たち
棋子 pieces
refnat refnat
林肯 lincoln
訂單 subscribe
西斯 sith
信心 confidence
西方 western
遠遠 far
palazzo palazzo
了解 know
自傳 self-transfer
致使 cause
設備 equipped
aa aa
ab ab
ac ac
ad ad
執政 administration
ae ae
af af
ag ag
ah ah
ai ai
ak ak
diff diff
al al
義雄 hero
am am
an an
ao ao
ap ap
aq aq
ar ar
as as
五行 five
at at
au au
av av
genus genus
aw aw
ax ax
ay ay
az az
信念 faith
ba ba
bb bb
bc bc
bd bd
be be
bf bf
bg bg
bh bh
bi bi
档案 archive
bj bj
考古學家 archaeologists
執教 taught
無奈 nai
bk bk
bl bl
bm bm
bo bo
bp bp
br br
bs bs
bt bt
bu bu
bw bw
bx bx
by by
genre genre
ca ca
cb cb
三角洲 delta
cc cc
樞密院 hubs
cd cd
ce ce
恩德 entebbe
cf cf
cg cg
ch ch
って って
四重奏 quartet
ci ci
福州市 fuzhou
cj cj
ck ck
cl cl
adobe adobe
cm cm
cn cn
co co
cp cp
food food
cq cq
cr cr
cs cs
ct ct
cu cu
cv cv
cw cw
partner partner
cx cx
cy cy
cz cz
西昌 xichang
da da
db db
font font
dc dc
dd dd
de de
df df
dg dg
dh dh
di di
dj dj
dk dk
dl dl
東日本 tokyo
dm dm
language language
衛視 guards
sites sites
do do
ford ford
那裡 there
dp dp
dr dr
基本上 basically
ds ds
dt dt
du du
重播 replay
dv dv
dx dx
dy dy
dz dz
ea ea
eb eb
ec ec
ed ed
ee ee
ef ef
信息 information
ei ei
el el
em em
en en
ep ep
假名 kana
er er
es es
et et
心理 psychological
eu eu
ev ev
ex ex
降雨量 rainfall
遺跡 heritage
術語 language
fa fa
fb fb
fc fc
得票 votes
西晋 jin
混凝土 concrete
fd fd
fe fe
ff ff
釋放 releasing
fg fg
肺癌 lung
fi fi
tears tears
fk fk
修建 built
fl fl
fm fm
fn fn
fp fp
fr fr
fs fs
content content
ft ft
fu fu
fw fw
fx fx
fy fy
恩怨 grudge
作為 as
fz fz
ga ga
報廢 reports
gb gb
gc gc
gd gd
ge ge
一體 one
gf gf
要是 if
gg gg
gi gi
gj the
gk gk
gl gl
gm gm
gn gn
go go
gp gp
做出 make
gr gr
gs gs
rhythm rhythm
gt gt
gu gu
专题 thematic
恰当 appropriate
gx gx
本身 itself
form form
侦查 investigation
股票 stock
太空船 spacecraft
性格 character
ha ha
hb hb
fort fort
hd hd
he he
hf hf
hg hg
梦想 dream
hh hh
hi hi
hk hk
hl hl
hn hn
ho ho
hp hp
墾丁 settlements
hr hr
hs hs
覺得 feel
中間 middle
ht ht
hu hu
hw hw
hz hz
私人 private
four four
ia ia
ib ib
ic ic
https https
id id
做到 do
ない ない
ie ie
if if
禮儀 etiquette
祕密 secret
ii ii
能源 energy
顾问 consultants
il il
im im
停刊 discontinued
in in
io io
ip ip
增刊 supplement
iq iq
ir ir
is is
it it
iv iv
ix ix
ja ja
jc jc
je je
ji ji
jo jo
jp jp
jr jr
js js
ju ju
重整 reforming
ka ka
kb kb
kc kc
庭院 courtyard
ke ke
kg kg
kh kh
ki ki
kj kj
kk kk
kl kl
km km
kn kn
ko ko
kr kr
曲阜 qufu
なる なる
遭遇 encounter
ks ks
kt kt
ku ku
kv kv
kw kw
kz kz
里斯 reese
修復 repaired
la la
lb lb
lc lc
ld ld
le le
根源 root
lf lf
lg lg
li li
火灾 fire
ll ll
lm lm
ln ln
lo lo
lp lp
lr lr
ls ls
lt lt
lu lu
lv lv
ly ly
重新 restart
報復 reports
ma ma
mb mb
morgan morgan
mc mc
md md
me me
mf mf
mg mg
mh mh
mi mi
communication communication
自制 homemade
mj mj
mk mk
ml ml
mm mm
mn mn
親戚 relatives
mo mo
西村 nishimura
mp mp
里昂 lyon
mq mq
mr mr
ms ms
mt mt
mu mu
偏向 bias
mv mv
健全 sound
mw mw
mx mx
my my
火炮 artillery
研究生 graduate
火炬 torch
entry entry
建起 built
na na
五角 wujiaochang
nb nb
nc nc
のち のち
nd nd
ne ne
nf nf
ng ng
nh nh
disc disc
ni ni
硬碟 hdd
nj nj
nk nk
nl nl
柏克萊 berkeley
nm nm
no no
舉人 people
np np
nr nr
ns ns
student student
nt nt
nu nu
神学 theology
增加 increase
nx nx
ny ny
nz nz
oc oc
神學 divinity
of of
便於 then
og og
oh oh
您好 hello
自創 self-creative
ok ok
ol ol
om om
on on
硫磺 sulfur
oo oo
op op
or or
os os
sports sports
塵埃 dirt
ot ot
ou ous
ow ow
西林 amoxicillin
